Model,Loss,Accuracy (Top-1),Top-5 Accuracy,Top-10 Accuracy,Top-20 Accuracy
LSTM,6.203761577606201,0.1279403120279312,0.22820928692817688,0.27439796924591064,0.3276408910751343
Transformer,6.286008358001709,0.11687685549259186,0.2209266871213913,0.2675594389438629,0.32024410367012024
