Model,Loss,Accuracy (Top-1),Top-3 Accuracy,Top-5 Accuracy,Top-10 Accuracy,Top-20 Accuracy
Popularity baseline,,0.02026375040205854,,0.09381365926878954,,
LSTM + Attention,3.576840877532959,0.24841856956481934,0.36646294593811035,0.4204460084438324,0.49378150701522827,0.5826096534729004
Transformer,3.6046555042266846,0.24852578341960907,0.3678567707538605,0.42167899012565613,0.4980701208114624,0.5811086297035217
